ac_year,district_cd,District,Division,Budget_district_seq,block_cd_1,Block_Name,MNC_SR,MNC_Desc,block_cd_2,vill_ward_cd,Village_Name,cluster_cd,Cluster_Name,udise_sch_code,school_name,address,pincode,Establishment,sch_loc_r_u,sch_category_id,School_category,sch_type,sch_mgmt_id,Mgt_desc,state_mgt_3,state_mgt_4,class_frm,class_to,medinstr1,medium_desc,medium_state,medinstr2,medinstr3,medinstr4,latitude,longitude,ppsec_yn,stdcode,mobile,stdcode_resp,phone_resp,mobile_resp,website,email,resp_name,cwsn_sch_yn,shift_sch_yn,resi_sch_type,resi_sch_type_Desc,minority_yn,minority_type,Minority_desc,anganwadi_yn,anganwadi_code,anganwadi_stu_b,anganwadi_stu_g,anganwadi_tch_trained,board_sec,Board_Desc_Sec,board_sec_no,board_sec_oth,board_hsec,Board_Hseco_Desc,board_hsec_no,board_hsec_oth,prevoc_yn,eduvoc_yn,cpp_b,cpp_g,cpp_t,c1_b,c1_g,c1_t,c2_b,c2_g,c2_t,c3_b,c3_g,c3_t,c4_b,c4_g,c4_t,c5_b,c5_g,c5_t,c6_b,c6_g,c6_t,c7_b,c7_g,c7_t,c8_b,c8_g,c8_t,c9_b,c9_g,c9_t,c10_b,c10_g,c10_t,c11_b,c11_g,c11_t,c12_b,c12_g,c12_t,c1to5b,c1to5g,c1to5t,c6to8b,c6to8g,c6to8t,c1to8b,c1to8g,c1to8t,c9to10b,c9to10g,c9to10t,c11to12b,c11to12g,c11to12t,c9to12b,c9to12g,c9to12t,c1to12b,c1to12g,c1to12t,Enr_range_school_grant
2020-21,8030,BIKANER,Division,0,803010,BIKANER,0,not available,803010,0,not available,0,not aplicable,8030102802,MAHATMA GANDHI GOVERNMENT SCHOOL (ENGLISH MEDIUM) BARSINGHSAR,not available,0,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
2020-21,8030,BIKANER,Division,0,803031,KOLAYAT,0,not available,803031,0,not available,0,not aplicable,8030315601,MAHATMA GANDHI GOVT. SCHOOL NATHOTAAN BASS JHAJHU,not available,0,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
2020-21,8030,BIKANER,Division,0,803031,KOLAYAT,0,not available,803031,0,not available,0,not aplicable,8030314101,GOVT.SEC.SCHOOL GANGAPURA,not available,0,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
2020-21,8030,BIKANER,Division,0,803050,Shri DUNGARGARH,0,not available,803050,0,not available,0,not aplicable,8030503701,GOVT .SR. SEC. SCHOOL BENISAR,not available,0,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
2020-21,8030,BIKANER,Division,0,803070,PANCHOO,0,not available,803070,0,not available,0,not aplicable,8030700601,GOVT SENIOR SECONDARY SCHOOL MUNJASAR,not available,0,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
2020-21,8160,JAISALMER,Division,0,816011,MOHANGARH,0,not available,816011,0,not available,0,not aplicable,8160112504,GOVT. SR. SEC_TADANA,not available,0,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
2020-21,8160,JAISALMER,Division,0,816031,FATHEGARH,0,not available,816031,0,not available,0,not aplicable,8160311103,GOVT.SSS_DEVRA,not available,0,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
2020-21,8160,JAISALMER,Division,0,816031,FATHEGARH,0,not available,816031,0,not available,0,not aplicable,8160312706,GOVT. SR. SEC._BAIYA,not available,0,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
2020-21,8160,JAISALMER,Division,0,816020,BHANIYANA,0,not available,816020,0,not available,0,not aplicable,8160209504,GOVT. SR. SEC. SCH_BHURJGARH,not available,0,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
2020-21,8160,JAISALMER,Division,0,816020,POKARAN,0,not available,816020,0,not available,0,not aplicable,8160203105,GOVT. SR. SEC. SCHOOL MODARDI,not available,0,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
2020-21,8151,JODHPUR,Division,0,815140,PIPAR CITY,0,not available,815140,0,not available,0,not aplicable,8151407202,GSS UCHIYADA BERA PIPAR CITY,not available,0,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
2020-21,8151,JODHPUR,Division,0,815140,PIPAR CITY,0,not available,815140,0,not available,0,not aplicable,8151409301,GHSS SILARI,not available,0,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
2020-21,8151,JODHPUR,Division,0,815161,CHAMU,0,not available,815161,0,not available,0,not aplicable,8151610501,GSSS BANNO KA BAS,not available,0,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
2020-21,8151,JODHPUR,Division,0,815160,CHAMU,0,not available,815160,0,not available,0,not aplicable,8151602411,GSSS PRAHLADPURA,not available,0,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
2020-21,8150,JODHPUR,Division,0,815080,LUNI,0,not available,815080,0,not available,0,not aplicable,8150808505,MGGS BHATINDA,not available,0,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
