departmentCode,departmentGroupCode,departmentDescription
CE,NON ACADEMIC,CEO's Office
CH,NON ACADEMIC,Chairman's Office
DE,NON ACADEMIC,Development and Expansion
FA,NON ACADEMIC,Finance and Accounts
HO,NON ACADEMIC,Hostel
HR,NON ACADEMIC,Human Resources and Development
IT,NON ACADEMIC,Information Technology
LG,NON ACADEMIC,Legal
OP,NON ACADEMIC,Operations
SM,NON ACADEMIC,Sales & Marketing
VC,NON ACADEMIC,Vice Chairperson's Office
