ac_year,District_cd,District,Division,Budget_district_seq,block_cd,Block_Name,MNC_SR,MNC_Desc,block_cd,vill_ward_cd,Village_Name,cluster_cd,Cluster_Name,udise_sch_code,school_name,address,pincode,Establishment,sch_loc_r_u,sch_category_id,School_category,sch_type,sch_mgmt_id,Mgt_desc,state_mgt_3,state_mgt_4,class_frm,class_to,medinstr1,medium_desc,medium_state,medinstr2,medinstr3,medinstr4,latitude,longitude,ppsec_yn,stdcode,mobile,stdcode_resp,phone_resp,mobile_resp,website,email,resp_name,cwsn_sch_yn,shift_sch_yn,resi_sch_type,resi_sch_type_Desc,minority_yn,minority_type,Minority_desc,anganwadi_yn,anganwadi_code,anganwadi_stu_b,anganwadi_stu_g,anganwadi_tch_trained,board_sec,Board_Desc_Sec,board_sec_no,board_sec_oth,board_hsec,Board_Hseco_Desc,board_hsec_no,board_hsec_oth,prevoc_yn,eduvoc_yn,cpp_b,cpp_g,cpp_t,c1_b,c1_g,c1_t,c2_b,c2_g,c2_t,c3_b,c3_g,c3_t,c4_b,c4_g,c4_t,c5_b,c5_g,c5_t,c6_b,c6_g,c6_t,c7_b,c7_g,c7_t,c8_b,c8_g,c8_t,c9_b,c9_g,c9_t,c10_b,c10_g,c10_t,c11_b,c11_g,c11_t,c12_b,c12_g,c12_t,c1to5b,c1to5g,c1to5t,c6to8b,c6to8g,c6to8t,c1to8b,c1to8g,c1to8t,c9to10b,c9to10g,c9to10t,c11to12b,c11to12g,c11to12t,c9to12b,c9to12g,c9to12t,c1to12b,c1to12g,c1to12t,Enr_range_school_grant
0,8210,AJMER,Division,0,821030,AJMER RURAL,0,not available,821030,0,not available,0,not aplicable,8210309201,G.SR.SEC.SCHOOL UTANDA,UNTRA,305023,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,0,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
0,8210,AJMER,Division,0,821020,ARAIN,0,not available,806090,0,not available,0,not aplicable,8210206001,G.SR.SEC.SCHOOL KASIR,"KASHIR, ARAIN, AJMER",305412,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,0,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
0,8210,AJMER,Division,0,821052,JAWAJA,0,not available,806131,0,not available,0,not aplicable,8210525701,G.SEC.SCH.GAFA,"VILLAGE GAFA,GRAM PANCHAYAT- BAMANHEDA,PO KHODMAL, TODGARH, AJMER",305926,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,0,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
0,8210,AJMER,Division,0,821010,KISHANGARH,0,not available,806140,0,not available,0,not aplicable,8210100601,G.SR.SEC.SCHOOL NOSAL,"VILLAGE - NOSAL , PANCHAYAT SAMITI - SILORA,TESIL-ROOPANGARH, DIST - AJMER",305814,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,0,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
0,8210,AJMER,Division,0,821030,SRI NAGAR,0,not available,806041,0,not available,0,not aplicable,8210302201,G.SEC.SCH. MORAJHADI,GOVT.SENIOR SEC.SCH. MORAJHADI AJMER,305402,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,0,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
0,8210,AJMER,Division,0,821021,ARAIN,0,not available,806050,0,not available,0,not aplicable,8210211101,G.SR.SEC.S. DEVPURI,DEVPURI,305801,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,0,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
0,8210,AJMER,Division,0,821040,PISANGAN,0,not available,806130,0,not available,0,not aplicable,8210401601,G.SEC.SCH. KHEDA PRITVIRAJ,Gola,305202,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,0,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
0,8210,AJMER,Division,0,821020,ARAIN,0,not available,806081,0,not available,0,not aplicable,8210209602,G.G.SEC.SCH. DADIYA,"CHHOTA LAMBA ROAD, DADIYA, TEH- ARAIN, DIST- AJMER",305813,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,0,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
0,8210,AJMER,Division,0,821080,SAWAR,0,not available,806030,0,not available,0,not aplicable,8210808201,G.SR.SEC.SCH. CHITIVAS,VILL. CHITIWAS VIA SAWAR AJMER,305407,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,0,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
0,8210,AJMER,Division,0,821030,AJMER RURAL,0,not available,806020,0,not available,0,not aplicable,8210305802,G.SR.SEC.SCH ARDAKA,ARADKA AJMER,305811,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,0,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
0,8210,AJMER,Division,0,821030,AJMER RURAL,0,not available,806120,0,not available,0,not aplicable,8210306702,G.SEC.SCHOOL NALAPADI(PALRA),not available,305025,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,0,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
0,8210,AJMER,Division,0,821010,KISHANGARH,0,not available,806111,0,not available,0,not aplicable,8210100101,G.SR.SEC.SCH. SINODIYA,"SINODIYA, ROOPANGARH, AJMER",305814,0,0,0,not available,0,0,not available,not available,not available,0,0,0,not available,not available,0,0,0,0,0,0,0,0,0,0,0,not available,not available,not available,0,0,0,not available,0,0,not available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not available
